text,label
행복한 하루였어,긍정
짜증나는 일이 많아,부정
책을 읽었어,중립
그냥 그랬어,중립
학교 갔다 옴,중립
기분이 상쾌해,긍정
기분이 상쾌해,긍정
정말 최악이야,부정
정말 최악이야,부정
행복한 하루였어,긍정
이 영화 너무 좋아,긍정
진짜 별로였어,부정
기분이 상쾌해,긍정
고마운 순간이었어,긍정
그냥 그랬어,중립
정말 최악이야,부정
진짜 별로였어,부정
기분이 상쾌해,긍정
정말 최악이야,부정
점심에 밥 먹었다,중립
짜증나는 일이 많아,부정
오늘 날씨가 흐림,중립
정말 최악이야,부정
그냥 그랬어,중립
그냥 그랬어,중립
행복한 하루였어,긍정
행복한 하루였어,긍정
그냥 그랬어,중립
슬픈 하루였어,부정
슬픈 하루였어,부정
짜증나는 일이 많아,부정
슬픈 하루였어,부정
고마운 순간이었어,긍정
고마운 순간이었어,긍정
학교 갔다 옴,중립
책을 읽었어,중립
오늘 날씨가 흐림,중립
기분이 상쾌해,긍정
기분이 상쾌해,긍정
고마운 순간이었어,긍정
이 영화 너무 좋아,긍정
진짜 별로였어,부정
오늘 날씨가 흐림,중립
책을 읽었어,중립
정말 최악이야,부정
화가 난다,부정
행복한 하루였어,긍정
오늘 너무 슬펐어,부정
마음이 무겁고 우울해,부정
기쁘고 행복한 하루였어,긍정
정말 짜증났어,부정
행복해,긍정
행복,긍정
기쁘다,긍정
기쁨,긍정
잘 모르겠어,중립
